"horse_no","horse_name","horse_gender","sire_name","dam_name","foal_year","race_year","age","gait","ytd_Starts","ytd_wins","ytd_places","ytd_shows","annual_earnings","rec_type","rec_time","rec_size","rec_track","ytd_htype"
"6P2402","HESACAT","G","TELLITLIKEITIS","INTIMATE KNOWLEDGE",2016,2020,4,"P",7,0,0,0,320,NA,0,NA,NA,"DOM"
"8P3950","MOONRAKER","G","HYPNOTIC BLUE CHIP","LAUREN",2016,2018,2,"P",10,0,0,0,698,NA,0,NA,NA,"DOM"
"2P6873","CALLMECARMEN","M","ROCKIN IMAGE","SEE LIFE",2016,2019,3,"P",6,0,0,0,300,NA,0,NA,NA,"DOM"
"5P2875","MOCEDES BOY","H","SWAN FOR ALL","C E R T",2016,2018,2,"T",13,1,2,2,77186,NA,1583,"S","HoP","DOM"
"5P2875","MOCEDES BOY","H","SWAN FOR ALL","C E R T",2016,2019,3,"T",14,2,0,1,16500,NA,1561,"S","HoP","DOM"
"5P2875","MOCEDES BOY","H","SWAN FOR ALL","C E R T",2016,2020,4,"T",15,2,1,1,16742,NA,1581,"H","YR","DOM"
"8P9007","SLIPPERY NOODLE","M","MAJOR BOMBAY","CONTROL THE CARDS",2016,2018,2,"P",18,3,8,2,20065,NA,1564,"F","PPk","DOM"
"8P9007","SLIPPERY NOODLE","M","MAJOR BOMBAY","CONTROL THE CARDS",2016,2019,3,"P",32,2,7,5,13421,NA,1582,"H","MR","DOM"
"5PM954","WICKED WIZARD","H","KADABRA","MET'S RIVAL",2016,2019,3,"T",7,2,0,1,14300,NA,1560,"F","PcD","DOM"
"5PM954","WICKED WIZARD","H","KADABRA","MET'S RIVAL",2016,2021,5,"T",0,0,0,0,0,NA,0,NA,NA,"DOM"
"4PN806","REBELLIOUS LADY","M","ANGUS HALL","RADICAL MISSY",2016,2018,2,"T",8,2,1,1,24002,NA,1591,"S","Wbsb","DOM"
"4PN806","REBELLIOUS LADY","M","ANGUS HALL","RADICAL MISSY",2016,2019,3,"T",14,4,4,0,66786,NA,1551,"S","Wbsb","DOM"
